cod_ncm,hscode,cod_pais_origem,urf_cod,via_transp_cod,sgl_uf_import,city_cod,cidade_import,combinacao_202405
85171231,8517,160,0817700,04,SP,3450308,SAO PAULO,0
90189010,9018,160,0817700,04,SP,3408405,CABREUVA,0
85416010,8541,160,0817700,04,SP,3447809,SANTO ANDRE,1
84439199,8443,160,0817600,04,SP,3418800,GUARULHOS,1
85412120,8541,160,0817600,04,SP,3403901,ARUJA,0
85411092,8541,160,0817700,04,SP,3415004,EMBU,0
85411019,8541,160,0817800,01,SP,3406003,BAURU,0
85414111,8541,160,0817800,01,SP,3423909,ITU,0
87089300,8708,160,0817600,04,RS,4318705,SAO LEOPOLDO,0
87082999,8708,160,0817600,04,SP,3405708,BARUERI,1
85176259,8517,160,0817600,04,SP,3450308,SAO PAULO,1
85411029,8541,160,0817600,04,MG,3125101,EXTREMA,0
84439949,8443,160,0817700,04,SP,3418800,GUARULHOS,0
90189099,9018,160,0817600,04,SP,3434401,OSASCO,0
84439980,8443,160,0817800,01,SP,3434401,OSASCO,1
85413029,8541,160,0817700,04,SP,3425003,JANDIRA,0
29339969,2933,160,0817600,04,SP,3450308,SAO PAULO,1
85176296,8517,160,0817700,04,SP,3443402,RIBEIRAO PRETO,0
29333999,2933,160,0817700,04,SP,3427306,LOUVEIRA,0
84439990,8443,160,0817600,04,SP,3418404,GUARATINGUETA,0
85411022,8541,160,0817600,04,SP,3447809,SANTO ANDRE,0
85412120,8541,160,0817600,04,SP,3450308,SAO PAULO,1
87085080,8708,160,0817800,01,SP,3430706,MOGI GUACU,0
84439931,8443,160,0817800,01,SP,3452205,SOROCABA,1
85411021,8541,160,0817700,04,SP,3454102,TAUBATE,1
85411019,8541,160,1017700,01,RS,4305108,CAXIAS DO SUL,0
29224190,2922,160,0817800,01,SP,3409205,CAJAMAR,0
90183929,9018,160,0817600,04,SP,3456453,VARGEM GRANDE PAULISTA,1
85414300,8541,160,0817600,04,SP,3430607,MOGI DAS CRUZES,0
85414032,8541,160,0927800,01,RS,4305108,CAXIAS DO SUL,0
29214990,2921,160,0817600,04,SP,3422505,ITAPEVI,0
85177190,8517,160,0817600,04,SP,3418800,GUARULHOS,1
85411029,8541,160,0817700,04,MG,3170206,UBERLANDIA,0
29333935,2933,160,0817800,01,SP,3436505,PAULINIA,0
84439942,8443,160,0617700,04,MG,3159605,SANTA RITA DO SAPUCAI,0
29333999,2933,160,0717600,01,RJ,3301702,DUQUE DE CAXIAS,0
87089990,8708,160,0817800,01,MG,3138302,LEANDRO FERREIRA,0
87089100,8708,160,0817800,01,SP,3448708,SAO BERNARDO DO CAMPO,1
85176239,8517,160,0717700,04,RJ,3304557,RIO DE JANEIRO,1
85176234,8517,160,0817800,01,SP,3452205,SOROCABA,1
29215133,2921,160,0717600,01,RJ,3304557,RIO DE JANEIRO,1
87082999,8708,160,0817600,04,SP,3454003,TATUI,0
85411091,8541,160,0817700,04,SP,3450308,SAO PAULO,0
85412120,8541,160,1017801,04,RS,4318705,SAO LEOPOLDO,0
85412910,8541,160,0817600,04,RS,4305108,CAXIAS DO SUL,1
29151390,2915,160,0817700,04,SP,3413009,COTIA,0
29411043,2941,160,0817600,04,SP,3450308,SAO PAULO,0
